ex;perhidro;mes;Local;ano;hora;num;sp;CP;peso;Sexo;EstMat;Gordura;pesoevis;Categoria; anom.min ;anom.max;anom.cheia;anom.seca;hidro.min;hidro.max;dur_cheia;dur_seca;estomago;gr
110;seca;nov/09;Lago do Padre;11;CM;60541;Acestrorhynchus falcirostris;23.8;119.00 ;F;6;1;111.7;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CM;60542;Acestrorhynchus falcirostris;23.2;113.4;F;6;2;103.1;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CM;60543;Acestrorhynchus falcirostris;17.0 ;40.9;F;6;0;39.5;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CM;60544;Pellona flavipinnis;14.5;43.3;M;NA;2;41.1;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CM;60545;Pellona flavipinnis;14.8;46.7;M;NA;2;43.6;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CM;60546;Pellona flavipinnis;15.0 ;51.00 ;F;2;2;47.8;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CM;60547;Pellona flavipinnis;12.5;29.5;F;3;0;26.9;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CM;60548;Pellona flavipinnis;13.5;35.6;F;2;2;33.6;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CM;60549;Hoplias malabaricus;23.9;260.00 ;F;6;1;240.0 ;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CM;60567;Serrasalmus maculatus;14.6;126.00 ;M;NA;2;113.54;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;CM;60569;Serrasalmus sp.n. robertsonii;14.1;94.3;F;2;2;84.09;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;CM;60570;Serrasalmus sp.n. robertsonii;12.6;58.9;F;2;1;52.68;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;CM;60571;Serrasalmus sp.n. robertsonii;10.4;33.00 ;F;2;1;30.74;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;CM;60572;Serrasalmus sp.n. robertsonii;9.5;29.5;M;NA;1;26.51;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;D;60692;Acestrorhynchus falcirostris;21.2;93.02;F;2;2;83.07;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;D;60693;Acestrorhynchus falcirostris;26.2;163.08;M;NA;1;151.06;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
